TRGID,ProgramName,MasterProgramName,CategoryName,Manufacturer,Classification_PHYSICAL CONDITION,Classification_CONDITION,RTVType,OrderNumber,Sale Price (Discount applied),Retail Price On Sale Date,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Order Type Sold On,Marketplace Sold On,OrderCustomerName,OrderCustomerCompanyName,MarketplacePONumber,SortingIndex,LocationID,OrderCreatedDate
TRG00157,BRTON-WM-BAR,Walmart Computer Parts (Finished),Accessories,HP,Good,B,,ORD-10157,48.80,165.68,222.86,179.67,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-157,,,2026-08-09
TRG00158,WFS-OVERFLOW,Walmart Computer Parts (Finished),TVs,HP,Damaged,B,,ORD-10158,13.64,146.82,41.13,154.24,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-158,,,2026-09-06
TRG00159,BRTON-WM-FOO,Specialty,Accessories,Dell,Damaged,C,,ORD-10159,76.01,124.20,133.48,73.61,Wholesale,Walmart,Jordan Lee,The Recon Group LLP,PO-159,,,2026-08-11
TRG00160,MIAFL-HEAD-OFFICE,Open Box Returns,Monitors,Samsung,Good,B,,ORD-10160,98.74,232.90,198.06,265.76,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-160,,,2026-09-02
TRG00161,BRTON-WM-BAR,Warehouse Direct,Computers,Dell,Very Good,B,,ORD-10161,17.26,186.15,134.40,152.48,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-161,10,LOC-50,2026-09-08
TRG00162,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,Damaged,A,RTV Liquidate,ORD-10162,0.00,36.89,205.48,69.64,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-162,,,2026-08-19
TRG00163,WFS-OVERFLOW,Walmart Computer Parts (Finished),Monitors,Dell,Very Good,A,RTV Liquidate,ORD-10163,123.13,81.76,121.43,237.21,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-163,5,LOC-54,2026-09-09
TRG00164,WFS-OVERFLOW,Open Box Returns,TVs,Samsung,Damaged,A,Non RTV,ORD-10164,190.55,179.14,246.48,190.41,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-164,11,LOC-20,2026-08-19
TRG00165,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),Tablets,Samsung,Fair,B,RTV Liquidate,ORD-10165,145.34,194.35,222.27,114.52,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-165,4,LOC-25,2026-08-14
TRG00166,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Headphones,Dell,Good,B,,ORD-10166,15.32,148.19,112.82,155.22,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-166,12,LOC-26,2026-08-15
TRG00167,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Computers,Dell,Damaged,A,RTV Liquidate,ORD-10167,191.18,226.52,249.12,103.04,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-167,12,LOC-60,2026-09-07
TRG00168,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Monitors,Dell,Fair,C,,ORD-10168,76.42,48.81,230.57,127.08,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-168,,,2026-09-02
TRG00169,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Samsung,Fair,B,RTV Liquidate,ORD-10169,112.57,233.97,159.37,218.95,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-169,,,2026-09-01
TRG00170,WFS-OVERFLOW,Warehouse Direct,Accessories,HP,Good,B,RTV Liquidate,ORD-10170,49.27,189.03,133.83,120.00,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-170,10,LOC-27,2026-08-11
TRG00171,MIAFL-HEAD-OFFICE,Warehouse Direct,Tablets,HP,Good,A,Non RTV,ORD-10171,189.61,36.39,65.80,230.86,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-171,,,2026-08-19
TRG00172,BRTON-WM-FOO,Walmart Computers Parts (Finished),Accessories,HP,Fair,A,Research,ORD-10172,164.76,151.23,50.92,142.59,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-172,,,2026-08-26
TRG00173,MILON-WM-DOTCA-RTV,Specialty,Headphones,HP,Good,C,Non RTV,ORD-10173,53.94,210.48,256.66,264.60,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-173,6,LOC-12,2026-09-08
TRG00174,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Accessories,HP,Damaged,B,RTV Liquidate,ORD-10174,87.46,234.18,230.08,183.49,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-174,,,2026-08-28
TRG00175,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Samsung,Damaged,C,RTV Liquidate,ORD-10175,15.36,105.26,106.32,138.55,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-175,,,2026-09-05
TRG00176,MILON-WM-DOTCA-RTV,Warehouse Direct,Monitors,HP,Very Good,A,Non RTV,ORD-10176,148.76,181.66,72.25,149.28,Retail,eBay,Jordan Lee,Acme Returns LLC,PO-176,8,LOC-35,2026-09-14
TRG00177,MILON-WM-DOTCA-RTV,Open Box Returns,Monitors,Samsung,Damaged,C,RTV Liquidate,ORD-10177,137.66,181.87,235.16,233.79,Liquidation,Walmart,Sender Shamiss,Acme Returns LLC,PO-177,,,2026-08-25
TRG00178,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,Very Good,C,,ORD-10178,185.53,156.79,112.61,110.24,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-178,,,2026-08-30
TRG00179,DALLX-HEADPHONES,Warehouse Direct,TVs,Samsung,Very Good,B,Non RTV,ORD-10179,154.86,74.08,79.71,210.47,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-179,,,2026-08-06
TRG00180,MIAFL-HEAD-OFFICE,Warehouse Direct,Accessories,Dell,Damaged,A,Non RTV,ORD-10180,184.02,98.11,178.89,186.93,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-180,,,2026-08-09
TRG00181,BRTON-WM-BAR,Walmart Monitors (Finished),Monitors,HP,Very Good,A,RTV Liquidate,ORD-10181,53.54,154.09,216.98,171.85,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-181,,,2026-08-31
TRG00182,MIAFL-HEAD-OFFICE,Open Box Returns,Monitors,HP,Damaged,A,Non RTV,ORD-10182,56.46,108.12,205.46,255.97,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-182,,,2026-09-08
TRG00183,PHXAZ-RETURNS,Walmart Monitors (Finished),TVs,Samsung,Damaged,A,,ORD-10183,125.84,69.91,187.59,250.02,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-183,10,LOC-48,2026-09-02
TRG00186,MIAFL-HEAD-OFFICE,Warehouse Direct,Headphones,HP,Damaged,A,RTV Liquidate,ORD-10186,148.68,205.36,104.20,75.52,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-186,,,2026-08-06
TRG00187,WFS-OVERFLOW,Walmart Monitors (Finished),Tablets,Dell,Damaged,C,RTV Liquidate,ORD-10187,22.33,216.24,172.80,218.16,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-187,6,LOC-57,2026-08-07
TRG00189,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Headphones,Samsung,Good,A,Non RTV,ORD-10189,26.05,54.75,172.50,268.22,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-189,2,LOC-28,2026-09-03
TRG00190,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Computers,HP,Good,B,Non RTV,ORD-10190,169.58,224.11,110.33,254.91,Retail,eBay,Sam Patel,Acme Returns LLC,PO-190,,,2026-08-14
TRG00191,BRTON-WM-BAR,Specialty,TVs,HP,Fair,C,,ORD-10191,77.34,159.41,82.22,42.91,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-191,9,LOC-46,2026-08-28
TRG00192,WFS-OVERFLOW,Warehouse Direct,Computers,Dell,Good,B,,ORD-10192,151.27,62.47,81.50,53.82,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-192,,,2026-09-08
TRG00193,MIAFL-HEAD-OFFICE,Specialty,Monitors,HP,Damaged,A,,ORD-10193,40.38,135.97,137.10,188.13,Liquidation,eBay,Jordan Lee,Acme Returns LLC,PO-193,1,LOC-29,2026-08-21
TRG00194,WFS-OVERFLOW,Warehouse Direct,Monitors,Samsung,Fair,B,,ORD-10194,0.00,193.12,131.37,97.57,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-194,,,2026-08-08
TRG00195,WFS-OVERFLOW,Walmart Computers Parts (Finished),Computers,HP,Very Good,B,,ORD-10195,81.08,193.30,63.44,53.85,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-195,,,2026-08-27
TRG00197,BRTON-WM-BAR,Walmart Computers Parts (Finished),Tablets,Dell,Fair,A,RTV Liquidate,ORD-10197,191.24,206.71,256.33,42.31,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-197,,,2026-08-22
TRG00198,WFS-OVERFLOW,Open Box Returns,TVs,HP,Good,A,RTV Liquidate,ORD-10198,16.21,205.99,246.97,106.76,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-198,,,2026-08-21
TRG00199,WFS-OVERFLOW,Walmart Computer Parts (Finished),Monitors,HP,Good,B,,ORD-10199,188.03,145.88,211.65,49.12,Retail,eBay,Jordan Lee,Acme Returns LLC,PO-199,,,2026-09-02
TRG00200,BRTON-WM-FOO,Walmart Computers Parts (Finished),Accessories,Dell,Fair,A,,ORD-10200,148.68,33.24,77.88,30.67,Wholesale,eBay,Jordan Lee,Acme Returns LLC,PO-200,7,LOC-29,2026-08-15
TRG00201,WFS-OVERFLOW,Walmart Computer Parts (Finished),Headphones,HP,Fair,C,Non RTV,ORD-10201,39.26,153.58,89.24,238.74,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-201,,,2026-09-12
TRG00203,DALLX-HEADPHONES,Walmart Monitors (Finished),Monitors,Dell,Damaged,C,RTV Liquidate,ORD-10203,73.30,204.99,253.72,179.84,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-203,8,LOC-51,2026-08-29
TRG00204,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Monitors,HP,Fair,C,RTV Liquidate,ORD-10204,167.28,42.62,218.86,182.14,Retail,eBay,Sam Patel,Acme Returns LLC,PO-204,1,LOC-40,2026-09-01
TRG00206,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Monitors,HP,Damaged,B,RTV Liquidate,ORD-10206,72.09,32.27,73.29,73.41,Wholesale,Walmart,Jordan Lee,Acme Returns LLC,PO-206,,,2026-08-23
TRG00207,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Accessories,Samsung,Damaged,B,,ORD-10207,69.78,244.35,115.29,232.52,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-207,,,2026-09-15
TRG00209,PHXAZ-RETURNS,Walmart Computer Parts (Finished),Accessories,Samsung,Fair,B,,ORD-10209,129.07,228.91,96.50,43.20,Wholesale,Walmart,Jordan Lee,Acme Returns LLC,PO-209,,,2026-08-28
TRG00211,BRTON-WM-BAR,Warehouse Direct,Headphones,HP,Damaged,B,,ORD-10211,180.52,41.94,194.93,197.64,Wholesale,eBay,Jordan Lee,Acme Returns LLC,PO-211,,,2026-09-02
TRG00212,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),Monitors,HP,Very Good,B,RTV Liquidate,ORD-10212,135.45,103.67,146.15,68.35,Wholesale,Walmart,Alex Nguyen,The Recon Group LLP,PO-212,4,LOC-30,2026-08-14
TRG00213,MILON-WM-DOTCA-RTV,Specialty,Accessories,Dell,Good,C,Research,ORD-10213,59.45,135.90,61.87,253.50,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-213,1,LOC-9,2026-08-19
TRG00214,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),TVs,Samsung,Very Good,A,Non RTV,ORD-10214,58.13,68.37,85.43,167.30,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-214,,,2026-08-20
TRG00215,MILON-WM-DOTCA-RTV,Specialty,Headphones,HP,Fair,A,,ORD-10215,110.67,199.95,71.62,77.57,Wholesale,Walmart,Jordan Lee,Acme Returns LLC,PO-215,2,LOC-54,2026-09-06
TRG00216,MILON-WM-DOTCA-RTV,Open Box Returns,Tablets,Dell,Fair,C,Non RTV,ORD-10216,119.89,147.53,96.85,234.17,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-216,2,LOC-34,2026-09-09
TRG00218,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Monitors,HP,Good,A,RTV Liquidate,ORD-10218,139.77,82.20,208.25,71.91,Wholesale,eBay,Jordan Lee,Acme Returns LLC,PO-218,,,2026-08-12
TRG00219,BRTON-WM-FOO,Open Box Returns,Headphones,Samsung,Very Good,A,RTV,ORD-10219,0.00,206.57,57.49,77.51,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-219,5,LOC-40,2026-08-24
TRG00220,DALLX-HEADPHONES,Walmart Computers Parts (Finished),Computers,Samsung,Damaged,A,,ORD-10220,183.91,109.95,67.99,220.71,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-220,5,LOC-24,2026-08-30
TRG00222,MILON-WM-DOTCA-RTV,Warehouse Direct,Tablets,Dell,Very Good,C,RTV Liquidate,ORD-10222,160.41,91.78,176.71,181.70,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-222,,,2026-08-09
TRG00223,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,HP,Fair,B,Non RTV,ORD-10223,14.50,233.33,148.03,36.22,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-223,,,2026-09-06
TRG00224,WFS-OVERFLOW,Walmart Monitors (Finished),Computers,HP,Good,C,RTV Approved,ORD-10224,0.00,41.16,161.50,72.75,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-224,,,2026-08-09
TRG00225,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),TVs,Samsung,Fair,A,Non RTV,ORD-10225,59.81,114.81,50.48,263.09,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-225,,,2026-09-06
TRG00227,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Headphones,Samsung,Very Good,B,RTV Liquidate,ORD-10227,156.00,94.55,130.78,212.64,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-227,,,2026-08-28
TRG00228,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),Tablets,HP,Fair,A,,ORD-10228,48.61,173.96,219.31,57.92,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-228,6,LOC-25,2026-08-09
TRG00229,DALLX-HEADPHONES,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Dell,Fair,A,RTV Liquidate,ORD-10229,169.42,94.77,60.72,85.71,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-229,,,2026-09-05
TRG00230,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Tablets,Dell,Good,B,RTV Liquidate,ORD-10230,65.47,49.25,184.36,79.12,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-230,,,2026-08-19
TRG00231,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),TVs,Samsung,Good,C,RTV Approved,ORD-10231,126.37,179.12,114.54,103.42,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-231,,,2026-09-12
TRG00232,BRTON-WM-FOO,Walmart Computers Parts (Finished),Tablets,Samsung,Very Good,C,,ORD-10232,55.40,83.36,219.45,189.03,Wholesale,Walmart,Sam Patel,Acme Returns LLC,PO-232,11,LOC-49,2026-08-14
TRG00233,MILON-WM-DOTCA-RTV,Specialty,Computers,Samsung,Fair,A,,ORD-10233,93.62,165.81,160.42,165.47,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-233,5,LOC-32,2026-08-23
TRG00234,WFS-OVERFLOW,Specialty,TVs,HP,Good,A,,ORD-10234,99.43,195.60,123.88,248.72,Wholesale,eBay,Alex Nguyen,Acme Returns LLC,PO-234,,,2026-09-08
TRG00235,DALLX-HEADPHONES,Warehouse Direct,Accessories,HP,Fair,C,Non RTV,ORD-10235,78.88,222.52,141.37,182.28,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-235,,,2026-08-15
TRG00236,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Headphones,HP,Damaged,A,,ORD-10236,0.00,152.33,49.93,263.89,Wholesale,Walmart,Sender Shamiss,Acme Returns LLC,PO-236,6,LOC-46,2026-08-12
TRG00237,DALLX-HEADPHONES,Specialty,TVs,Dell,Damaged,C,,ORD-10237,157.39,37.36,114.71,137.18,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-237,2,LOC-53,2026-08-25
TRG00238,MIAFL-HEAD-OFFICE,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,Damaged,B,,ORD-10238,93.99,208.73,125.76,212.52,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-238,,,2026-09-08
TRG00239,BRTON-WM-FOO,Walmart Computer Parts (Finished),Computers,HP,Damaged,B,Non RTV,ORD-10239,101.92,176.54,73.47,252.90,Retail,Walmart,Alex Nguyen,Acme Returns LLC,PO-239,,,2026-09-02
TRG00240,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Accessories,Samsung,Good,A,Non RTV,ORD-10240,159.03,52.51,256.22,264.16,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-240,,,2026-08-30
TRG00241,BRTON-WM-FOO,Specialty,Accessories,HP,Good,B,RTV Liquidate,ORD-10241,38.46,238.64,108.70,141.59,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-241,1,LOC-41,2026-08-25
TRG00242,DALLX-HEADPHONES,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Samsung,Damaged,C,,ORD-10242,89.02,224.08,142.62,242.31,Retail,Walmart,Alex Nguyen,Acme Returns LLC,PO-242,,,2026-08-15
TRG00244,PHXAZ-RETURNS,Specialty,Tablets,HP,Very Good,A,RTV Liquidate,ORD-10244,225.97,125.54,133.14,264.61,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-244,,,2026-09-10
TRG00245,DALLX-HEADPHONES,Open Box Returns,Monitors,Dell,Good,C,Non RTV,ORD-10245,180.55,89.49,150.53,48.25,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-245,,,2026-09-15
TRG00246,WFS-OVERFLOW,Walmart Computer Parts (Finished),Monitors,HP,Damaged,C,,ORD-10246,140.48,187.11,150.58,54.28,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-246,,,2026-08-20
TRG00247,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Monitors,Samsung,Damaged,A,,ORD-10247,52.60,62.57,84.73,178.25,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-247,,,2026-08-17
TRG00248,BRTON-WM-FOO,Walmart Computer Parts (Finished),Computers,Samsung,Good,A,,ORD-10248,0.00,51.36,65.78,128.57,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-248,,,2026-09-15
TRG00249,PHXAZ-RETURNS,Open Box Returns,Headphones,HP,Good,B,,ORD-10249,40.62,47.42,214.42,77.71,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-249,,,2026-08-25
TRG00250,MIAFL-HEAD-OFFICE,Specialty,TVs,Dell,Very Good,C,,ORD-10250,26.00,118.63,112.56,43.19,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-250,9,LOC-26,2026-08-16
TRG00251,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,HP,Damaged,A,RTV Liquidate,ORD-10251,108.27,238.70,222.55,156.09,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-251,,,2026-08-28
TRG00252,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,HP,Fair,A,Non RTV,ORD-10252,188.11,249.96,45.10,267.03,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-252,,,2026-08-19
TRG00253,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,HP,Fair,B,,ORD-10253,182.01,160.17,49.53,91.22,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-253,2,LOC-8,2026-09-07
TRG00255,PHXAZ-RETURNS,Walmart Computer Parts (Finished),TVs,HP,Very Good,B,RTV Liquidate,ORD-10255,146.61,147.51,197.82,62.18,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-255,7,LOC-21,2026-08-15
TRG00256,PHXAZ-RETURNS,Open Box Returns,Headphones,Samsung,Good,C,Return to Stock,ORD-10256,144.67,209.96,74.91,95.17,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-256,11,LOC-46,2026-08-07
TRG00257,WFS-OVERFLOW,Walmart Computer Parts (Finished),Headphones,Samsung,Damaged,C,Non RTV,ORD-10257,121.50,177.82,237.42,30.60,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-257,10,LOC-31,2026-09-07
TRG00258,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),Monitors,Samsung,Fair,A,RTV Liquidate,ORD-10258,142.30,150.99,127.27,257.97,Wholesale,Walmart,Jordan Lee,Acme Returns LLC,PO-258,9,LOC-7,2026-08-22
TRG00260,WFS-OVERFLOW,Specialty,Tablets,Dell,Very Good,B,RTV Liquidate,ORD-10260,52.25,177.82,254.06,268.02,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-260,,,2026-08-21
TRG00261,WFS-OVERFLOW,Walmart Computer Parts (Finished),Monitors,HP,Fair,A,Non RTV,ORD-10261,81.95,210.62,154.06,123.17,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-261,,,2026-08-28
TRG00262,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Monitors,HP,Fair,C,,ORD-10262,0.00,95.67,238.47,95.98,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-262,,,2026-08-10
TRG00263,MIAFL-HEAD-OFFICE,Warehouse Direct,Monitors,Dell,Good,C,Return to Stock,ORD-10263,0.00,129.36,223.86,98.79,Wholesale,eBay,Jordan Lee,Acme Returns LLC,PO-263,,,2026-09-07
TRG00264,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,Fair,B,Non RTV,ORD-10264,53.63,112.70,208.65,48.19,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-264,4,LOC-53,2026-08-23
TRG00265,MILON-WM-DOTCA-RTV,Specialty,Computers,HP,Very Good,B,,ORD-10265,112.62,156.18,61.16,30.97,Retail,Walmart,Jordan Lee,The Recon Group LLP,PO-265,7,LOC-34,2026-08-29
TRG00266,BRTON-WM-BAR,Walmart Computers Parts (Finished),Accessories,HP,Damaged,B,Non RTV,ORD-10266,160.94,48.99,166.64,264.47,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-266,11,LOC-57,2026-08-25
TRG00267,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Monitors,Samsung,Damaged,B,RTV Liquidate,ORD-10267,142.87,97.99,97.65,146.29,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-267,,,2026-08-25
TRG00268,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,Dell,Very Good,C,RTV Liquidate,ORD-10268,82.83,245.40,232.84,256.42,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-268,6,LOC-15,2026-09-02
TRG00269,MIAFL-HEAD-OFFICE,Specialty,Monitors,Samsung,Fair,B,Return to Stock,ORD-10269,177.60,182.85,251.41,156.46,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-269,,,2026-09-11
TRG00270,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Tablets,HP,Fair,B,Non RTV,ORD-10270,69.18,159.84,61.90,183.54,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-270,,,2026-08-25
TRG00271,BRTON-WM-BAR,Walmart Computers Parts (Finished),Accessories,Samsung,Very Good,C,,ORD-10271,158.46,43.65,197.89,248.89,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-271,,,2026-08-21
TRG00273,BRTON-WM-BAR,Walmart Monitors (Finished),Monitors,Dell,Fair,A,Return to Stock,ORD-10273,137.78,94.31,212.46,115.57,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-273,,,2026-08-22
TRG00275,DALLX-HEADPHONES,Specialty,Headphones,HP,Fair,C,RTV Liquidate,ORD-10275,133.16,137.84,107.19,33.16,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-275,,,2026-08-23
TRG00277,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,HP,Good,B,Non RTV,ORD-10277,13.87,100.48,112.14,243.40,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-277,10,LOC-24,2026-09-11
TRG00278,PHXAZ-RETURNS,Walmart Computer Parts (Finished),Accessories,HP,Good,A,Non RTV,ORD-10278,0.00,53.27,188.82,53.30,Wholesale,eBay,Alex Nguyen,Acme Returns LLC,PO-278,,,2026-09-01
TRG00280,WFS-OVERFLOW,Walmart Computer Parts (Finished),Tablets,Samsung,Very Good,C,,ORD-10280,171.80,182.02,222.83,246.25,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-280,9,LOC-13,2026-09-10
TRG00281,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Monitors,Samsung,Damaged,A,Research,ORD-10281,66.08,180.92,251.16,248.71,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-281,,,2026-09-15
TRG00282,WFS-OVERFLOW,Open Box Returns,Headphones,Samsung,Good,A,Research,ORD-10282,30.49,106.11,97.01,193.37,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-282,,,2026-09-05
TRG00283,PHXAZ-RETURNS,Walmart Computer Parts (Finished),TVs,Samsung,Damaged,A,Non RTV,ORD-10283,157.79,73.47,174.82,210.28,Wholesale,Walmart,Jordan Lee,Acme Returns LLC,PO-283,,,2026-09-04
TRG00284,MILON-WM-DOTCA-RTV,Specialty,Accessories,Dell,Damaged,C,RTV Liquidate,ORD-10284,184.49,98.22,62.57,134.69,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-284,,,2026-08-17
TRG00285,BRTON-WM-BAR,Walmart Computer Parts (Finished),Computers,HP,Damaged,B,,ORD-10285,189.77,212.15,71.62,200.70,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-285,,,2026-09-13
TRG00287,BRTON-WM-BAR,Walmart Computers Parts (Finished),Tablets,HP,Fair,B,,ORD-10287,155.07,243.42,173.17,83.47,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-287,,,2026-08-19
TRG00288,WFS-OVERFLOW,Specialty,Accessories,Samsung,Damaged,A,RTV Liquidate,ORD-10288,85.34,217.78,120.25,89.40,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-288,,,2026-08-23
TRG00290,PHXAZ-RETURNS,Walmart Monitors (Finished),TVs,Dell,Fair,A,,ORD-10290,99.12,77.13,189.64,45.82,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-290,4,LOC-34,2026-09-14
